STATE NAME,WASTE CODE GROUP,2021,2023,delta,pct_change
ARIZONA,U051,0.0,0.0,0.0,
ARIZONA,U056,0.0,0.0,0.0,
ARIZONA,U057,9.1925,0.0,-9.1925,-100.0
ARIZONA,U061,0.0,0.0,0.0,
ARIZONA,U080,0.067,0.5745,0.5075000000000001,757.4626865671643
ARIZONA,U092,0.0,0.001,0.001,
ARIZONA,U096,0.022,0.0,-0.022,-100.0
ARIZONA,U102,0.0,0.0,0.0,
ARIZONA,U103,0.0,0.001,0.001,
ARIZONA,U112,0.0,3.8404999999999996,3.8404999999999996,
ARIZONA,U114,8.3145,3.555,-4.759500000000001,-57.2433700162367
ARIZONA,U115,0.0,0.0,0.0,
ARIZONA,U116,0.0,0.55,0.55,
ARIZONA,U117,0.0,0.072,0.072,
ARIZONA,U122,0.871,0.223,-0.648,-74.39724454649827
ARIZONA,U123,12.448500000000001,12.9185,0.46999999999999886,3.7755552877856675
ARIZONA,U125,0.0,0.0,0.0,
ARIZONA,U133,0.0,0.001,0.001,
ARIZONA,U134,101.5845,18.9604955,-82.62400450000001,-81.33524750331006
ARIZONA,U138,0.0185,0.001,-0.017499999999999998,-94.5945945945946
ARIZONA,U144,0.0,0.0,0.0,
ARIZONA,U151,1.0025,0.0,-1.0025,-100.0
ARIZONA,U154,7.5285,4.515,-3.0135000000000005,-40.0278940027894
ARIZONA,U159,0.0,0.0,0.0,
ARIZONA,U160,0.8039999999999999,0.16999999999999998,-0.6339999999999999,-78.85572139303481
ARIZONA,U162,0.0,8.761000000000001,8.761000000000001,
ARIZONA,U164,0.026,0.0915,0.0655,251.92307692307696
ARIZONA,U165,0.032,0.058,0.026000000000000002,81.25
ARIZONA,U185,0.0,0.0,0.0,
ARIZONA,U188,0.1735,0.7120000000000001,0.5385000000000001,310.37463976945253
ARIZONA,U196,0.0,0.0,0.0,
ARIZONA,U197,0.0045,0.0,-0.0045,-100.0
ARIZONA,U210,0.0,1.078,1.078,
ARIZONA,U211,0.006,0.0,-0.006,-100.0
ARIZONA,U213,0.0935,0.0,-0.0935,-100.0
ARIZONA,U214,0.0,0.0,0.0,
ARIZONA,U218,0.10300000000000001,0.0425,-0.060500000000000005,-58.7378640776699
ARIZONA,U219,0.028499999999999998,0.0,-0.028499999999999998,-100.0
ARIZONA,U220,0.0175,0.07350000000000001,0.05600000000000001,320.0
ARIZONA,U223,0.1135,0.0065,-0.107,-94.27312775330397
ARIZONA,U228,0.03,0.042,0.012000000000000004,40.000000000000014
ARIZONA,U239,0.44999999999999996,0.2,-0.24999999999999994,-55.55555555555555
ARIZONA,U240,0.039,0.245,0.206,528.2051282051282
ARIZONA,U248,0.0,0.0,0.0,
