NAICS,2021,2023,delta,pct_change,share_2021,share_2023
33241,68.56735,6.5946964,-61.9726536,-90.38216235569845,8.324488507403785e-05,9.463618172562019e-06
423620,0.0,6.5935,6.5935,,0.0,9.461901297046466e-06
311911,8.5115,6.1975,-2.314,-27.18674734183164,1.0333472699581845e-05,8.893627555690525e-06
238350,4.8999999999999995,6.1175939,1.2175939000000007,24.848855102040833,5.948894581207899e-06,8.77895952941739e-06
485119,0.0,5.8651098,5.8651098,,0.0,8.416636084619693e-06
327120,8.588553,5.7803708,-2.808182199999999,-32.696802360071594,1.0427019673901395e-05,8.295032679143025e-06
711212,11.51236,5.759785,-5.752574999999999,-49.96868582983854,1.3976697147125423e-05,8.265491341807657e-06
513191,10.027500000000002,5.6770000000000005,-4.350500000000001,-43.38568935427575,1.2173987839400454e-05,8.146691994135558e-06
48421,5.4148046,5.6260194,0.2112147999999996,3.9006910794158594,6.5738983149468595e-06,8.073533064088661e-06
23833,0.519,5.6,5.0809999999999995,978.9980732177263,6.300972015605918e-07,8.036194322205234e-06
813920,5.6385892,5.427,-0.2115892000000006,-3.752520222611723,6.845586272966813e-06,7.787933319037108e-06
48851,1.4595496,5.4027486,3.943199,270.16546748394165,1.7719809604988076e-06,7.753131718503978e-06
112519,4.8137202,5.389078,0.5753577999999999,11.952456231253324,5.844145716985919e-06,7.733513933128775e-06
23822,6.409728899999999,5.1905755,-1.2191533999999997,-19.020358255713436,7.781796228616667e-06,7.448655957513856e-06
611512,16.3045,5.1274999999999995,-11.177000000000001,-68.55162685148272,1.979464320393963e-05,7.358140426269167e-06
451110,0.0,5.1000000000000005,5.1000000000000005,,0.0,7.31867697200834e-06
53119,5.4,4.962,-0.4380000000000006,-8.111111111111121,6.555924640514829e-06,7.120642183353995e-06
424410,24.4897,4.8629500000000005,-19.626749999999998,-80.14287639293252,2.9731968086817772e-05,6.97850199627999e-06
44418,0.0,4.764,4.764,,0.0,6.836505312676025e-06
33211,1989.6682288,4.7411612,-1984.9270675999999,-99.7617109661112,0.002415576845859151,6.80373084216067e-06
334610,3.5699999,4.6724,1.1024000999999997,30.879555486822273,4.334194502045458e-06,6.7050561341199525e-06
339994,2.5123349999999998,4.6529833,2.1406483,85.205527925217,3.050125728097744e-06,6.677192495852817e-06
31323,3.045,4.633578,1.588578,52.17004926108375,3.6968130611791947e-06,6.649345216981266e-06
212290,0.0,4.5,4.5,,0.0,6.457656151772064e-06
541512,0.29200000000000004,4.4985,4.2065,1440.5821917808219,3.545055546352463e-07,6.4555035997214725e-06
811420,2.8729358,4.4240826,1.5511468000000002,53.99169727356943,3.487916778117996e-06,6.348712048408389e-06
541850,0.0,4.422286100000001,4.422286100000001,,0.0,6.346134008569132e-06
42333,33.0175,4.4096329999999995,-28.607867,-86.64455818883926,4.008522996633302e-05,6.3279763710015765e-06
212313,0.0,4.358,4.358,,0.0,6.253881224316145e-06
48899,3.15,4.1666138,1.0166138000000005,32.27345396825398,3.8242893736336495e-06,5.97923538613964e-06
21221,0.0,4.15,4.15,,0.0,5.955394006634237e-06
23721,0.0,4.05,4.05,,0.0,5.8118905365948574e-06
111199,4.9405,4.0489999999999995,-0.8915000000000006,-18.044732314543076,5.99806401601176e-06,5.810455501894463e-06
441222,0.17,3.9976359,3.8276359,2251.5505294117647,2.0639022016435572e-07,5.736746236039967e-06
45721,0.0,3.9,3.9,,0.0,5.5966353315357884e-06
45511,0.0,3.8135000000000003,3.8135000000000003,,0.0,5.472504829951726e-06
921150,0.0,3.74,3.74,,0.0,5.367029779472783e-06
42352,36.8621101,3.71,-33.1521101,-89.93546492608408,4.475281776036306e-05,5.323978738460968e-06
42331,38.485861199999995,3.682,-34.80386119999999,-90.43285018135438,4.672414921342843e-05,5.283797766849942e-06
